Date,High,Low,Closing,Value Traded,No. of Trans,No. of Shares
04/11/2021,0.65,0.64,0.65,7255,10,11254
03/11/2021,0.65,0.65,0.65,5184,6,7975
01/11/2021,0.66,0.65,0.66,111160,8,170992
31/10/2021,0.65,0.65,0.65,13195,3,20300
25/10/2021,0.66,0.65,0.66,520,4,800
24/10/2021,0.66,0.65,0.66,36,2,55
21/10/2021,0.66,0.65,0.66,4048,16,6225
20/10/2021,0.65,0.64,0.65,163,2,255
18/10/2021,0.65,0.63,0.65,34,3,54
14/10/2021,0.65,0.64,0.65,167,2,260
13/10/2021,0.65,0.64,0.65,979,5,1530
12/10/2021,0.65,0.64,0.65,755,6,1180
10/10/2021,0.64,0.64,0.64,1472,2,2300
07/10/2021,0.64,0.64,0.64,1920,8,3000
03/10/2021,0.64,0.63,0.64,331,3,520
30/09/2021,0.64,0.63,0.64,1077,3,1710
29/09/2021,0.64,0.63,0.64,82,2,130
28/09/2021,0.63,0.63,0.63,249,4,395
26/09/2021,0.63,0.62,0.62,14607,6,23543
23/09/2021,0.63,0.63,0.63,1988,7,3155
22/09/2021,0.63,0.63,0.63,315,1,500
21/09/2021,0.63,0.62,0.63,10078,8,16250
19/09/2021,0.63,0.63,0.63,1260,2,2000
16/09/2021,0.63,0.63,0.63,2416,4,3835
14/09/2021,0.63,0.63,0.63,22,1,35
13/09/2021,0.63,0.63,0.63,1310,4,2080
07/09/2021,0.63,0.63,0.63,11214,9,17800
02/09/2021,0.63,0.63,0.63,158,1,250
01/09/2021,0.64,0.63,0.63,779,2,1231
30/08/2021,0.64,0.64,0.64,6,1,10
29/08/2021,0.64,0.63,0.63,757,2,1198
26/08/2021,0.63,0.63,0.63,3655,4,5802
25/08/2021,0.63,0.62,0.63,248,3,400
24/08/2021,0.63,0.63,0.63,504,1,800
23/08/2021,0.62,0.62,0.62,2170,5,3500
22/08/2021,0.62,0.62,0.62,1705,5,2750
19/08/2021,0.63,0.62,0.63,322,2,516
17/08/2021,0.63,0.63,0.63,16,1,25
16/08/2021,0.62,0.62,0.62,310,2,500
15/08/2021,0.61,0.61,0.61,61,1,100
11/08/2021,0.63,0.61,0.63,1408,9,2259
09/08/2021,0.63,0.62,0.62,1137,7,1830
08/08/2021,0.62,0.61,0.61,24209,14,39550
05/08/2021,0.62,0.62,0.62,851,2,1373
03/08/2021,0.62,0.62,0.62,19220,6,31000
02/08/2021,0.63,0.62,0.62,2808,8,4529
01/08/2021,0.63,0.63,0.63,205,1,325
29/07/2021,0.63,0.62,0.63,130,3,210
28/07/2021,0.63,0.62,0.63,12438,8,20060
27/07/2021,0.62,0.62,0.62,193,2,311
26/07/2021,0.64,0.63,0.64,18513,4,29385
25/07/2021,0.64,0.63,0.64,636,2,1010
15/07/2021,0.64,0.63,0.64,1292,3,2050
14/07/2021,0.63,0.62,0.62,7282,6,11664
13/07/2021,0.63,0.63,0.63,2520,1,4000
12/07/2021,0.63,0.62,0.63,249,2,400
11/07/2021,0.63,0.63,0.63,10130,9,16080
08/07/2021,0.63,0.63,0.63,1421,5,2255
07/07/2021,0.63,0.63,0.63,18900,9,30000
06/07/2021,0.65,0.63,0.65,161,2,249
05/07/2021,0.65,0.63,0.65,934,7,1460
04/07/2021,0.65,0.64,0.64,1068,6,1654
01/07/2021,0.66,0.66,0.66,198,2,300
30/06/2021,0.66,0.63,0.66,5758,12,8950
29/06/2021,0.65,0.63,0.65,14281,21,22170
28/06/2021,0.62,0.62,0.62,33,1,54
27/06/2021,0.63,0.63,0.63,5586,10,8867
24/06/2021,0.63,0.62,0.62,12026,12,19139
23/06/2021,0.63,0.63,0.63,1578,6,2505
22/06/2021,0.63,0.62,0.63,24337,20,39130
21/06/2021,0.64,0.63,0.63,15296,13,24246
20/06/2021,0.64,0.62,0.64,916,7,1470
17/06/2021,0.65,0.63,0.65,3597,11,5655
16/06/2021,0.67,0.65,0.65,13819,28,20951
15/06/2021,0.66,0.64,0.66,35536,34,55156
14/06/2021,0.64,0.63,0.64,25879,19,40700
13/06/2021,0.62,0.61,0.62,24479,11,39837
10/06/2021,0.62,0.61,0.62,10676,7,17460
09/06/2021,0.61,0.61,0.61,4392,3,7200
08/06/2021,0.61,0.61,0.61,122,1,200
07/06/2021,0.61,0.61,0.61,6710,16,11000
06/06/2021,0.61,0.61,0.61,1861,2,3050
03/06/2021,0.61,0.6,0.61,12877,12,21460
02/06/2021,0.62,0.61,0.61,12012,21,19690
01/06/2021,0.62,0.61,0.62,4301,7,7050
31/05/2021,0.62,0.61,0.62,7971,13,13000
30/05/2021,0.62,0.61,0.62,15457,27,25201
27/05/2021,0.62,0.62,0.62,10859,14,17515
26/05/2021,0.62,0.6,0.62,33391,34,55290
24/05/2021,0.6,0.59,0.6,14310,22,24190
23/05/2021,0.59,0.58,0.59,5969,11,10250
